"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2015-12-09T23:40:29Z"
"Version","20150901000000"
"OfferCode","AmazonSES"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Description","Location","Location Type","Origin","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Content Type","Recipient"
"G4ZWEDXHXZBGPHFD","JRTCKXETXF","G4ZWEDXHXZBGPHFD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Ireland) data transfer to South America (Sao Paulo)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","EU (Ireland)","AWS Region","South America (Sao Paulo)","AWS Region","EU-SAE1-AWS-Out-Bytes","",,
"TZPJVS2GCV8M5FXM","JRTCKXETXF","TZPJVS2GCV8M5FXM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer out of US East (Northern Virginia) to CloudFront","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","US East (N. Virginia)","AWS Region","Amazon CloudFront","AWS Edge Location","USE1-CloudFront-Out-Bytes","",,
"7C9D3B7GGMUXC94A","A429C66SYZ","7C9D3B7GGMUXC94A.A429C66SYZ.YFQHUT4EVE","OnDemand","Cost per recipient of SendEmail or SendRawEmail Global","2015-09-01","0","62000","Count","0.0000000000","USD",,"Bundle","AmazonSES",,,,,"SES-MonthlyFree-OutgoingEmail","Monthly free outgoing emails from AmazonEC2",,,,,,"Global-Recipients-EC2","Send",,
"CFYFHZG8VWWG6RJP","JRTCKXETXF","CFYFHZG8VWWG6RJP.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per recipient of SendEmail or SendRawEmail invoked from EC2","2015-09-01","0","Inf","Count","0.0001000000","USD","7C9D3B7GGMUXC94A","Sending Email","AmazonSES","Charged for each email sent from AmazonEC2 to an external recipient","US East (N. Virginia)","AWS Region","Amazon EC2",,,,,,,,"Recipients-EC2","Send","Message Body","Other"
"BMP354H7K8TRWPN3","JRTCKXETXF","BMP354H7K8TRWPN3.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per recipient of SendEmail or SendRawEmail USW2","2015-09-01","0","Inf","Count","0.0001000000","USD",,"Sending Email","AmazonSES","Charged for each email sent to an external recipient","US West (Oregon)","AWS Region","Other",,,,,,,,"USW2-Recipients","Send","Message Body","Other"
"7G9VSXNWHSF3JWC9","JRTCKXETXF","7G9VSXNWHSF3JWC9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - South America (Sao Paulo) data transfer from EUC1 (FRA)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","South America (Sao Paulo)","AWS Region","EU (Frankfurt)","AWS Region","SAE1-EUC1-AWS-In-Bytes","",,
"H8HG4WNFJ7V5Y37M","JRTCKXETXF","H8HG4WNFJ7V5Y37M.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EUC1 (FRA) data transfer to US West (Northern California)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","EU (Frankfurt)","AWS Region","US West (N. California)","AWS Region","EUC1-USW1-AWS-Out-Bytes","",,
"FDXXFP8ZAZY5A3E3","JRTCKXETXF","FDXXFP8ZAZY5A3E3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US West (Northern California) data transfer to South America (Sao Paulo)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","US West (N. California)","AWS Region","South America (Sao Paulo)","AWS Region","USW1-SAE1-AWS-Out-Bytes","",,
"9MG5B7V4UUU2WPAV","JRTCKXETXF","9MG5B7V4UUU2WPAV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000 per GB - data transfer in per month","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"AWS Inbound","External","Other","US East (N. Virginia)","AWS Region","DataTransfer-In-Bytes","",,
"6UN7C5R4W7H9HNZN","JRTCKXETXF","6UN7C5R4W7H9HNZN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Ireland) data transfer to AWS GovCloud (US)","2015-09-01","0","Inf","GB","0.0200000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","EU (Ireland)","AWS Region","AWS GovCloud (US)","AWS Region","EU-UGW1-AWS-Out-Bytes","",,
"GCF436UDTTAVUJRC","JRTCKXETXF","GCF436UDTTAVUJRC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Tokyo) data transfer from South America (Sao Paulo)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","Asia Pacific (Tokyo)","AWS Region","South America (Sao Paulo)","AWS Region","APN1-SAE1-AWS-In-Bytes","",,
"Z2ZE5ZK63EMSMFRU","JRTCKXETXF","Z2ZE5ZK63EMSMFRU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.16 per GB - South America (Sao Paulo) data transfer to US West (Northern California)","2015-09-01","0","Inf","GB","0.1600000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Outbound","South America (Sao Paulo)","AWS Region","US West (N. California)","AWS Region","SAE1-USW1-AWS-Out-Bytes","",,
"FKFB98XUH3AUXAGT","JRTCKXETXF","FKFB98XUH3AUXAGT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - AWS GovCloud (US) data transfer from South America (Sao Paulo)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","AWS GovCloud (US)","AWS Region","South America (Sao Paulo)","AWS Region","UGW1-SAE1-AWS-In-Bytes","",,
"N7SVZUB63F47UVC3","JRTCKXETXF","N7SVZUB63F47UVC3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - US West (Oregon) data transfer from Asia Pacific (Sydney)","2015-09-01","0","Inf","GB","0.0000000000","USD",,"Data Transfer","AWSDataTransfer",,,,,,,"InterRegion Inbound","US West (Oregon)","AWS Region","Asia Pacific (Sydney)","AWS Region","USW2-APS2-AWS-In-Bytes","",,
"9FJAFFCNYG56X9VQ","JRTCKXETXF","9FJAFFCNYG56X9VQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per GB of attachments EUW1","2015-09-01","0","Inf","GB","0.1200000000","USD",,"Sending Attachments","AmazonSES","Charged for attachments sent","EU (Ireland)","AWS Region","Any",,,,,,,,"EU-AttachmentsSize-Bytes","Send","Mail Attachment","Any"
