SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Availability,Storage Class,Volume Type,Fee Code,Fee Description,Group,Group Description,Transfer Type,From Location,From Location Type,To Location,To Location Type,usageType,operation,Durability
F6K4N63DFT97TGMK,JRTCKXETXF,F6K4N63DFT97TGMK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - US West (Oregon) Amazon S3 accelerated data transfer from EU (Ireland),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,Accelerated InterRegion Inbound from close by location,US West (Oregon),AWS Region,EU (Ireland),AWS Region,USW2-EU-AWS-In-ABytes,,
HQYZU654ZSHQ9JXT,JRTCKXETXF,HQYZU654ZSHQ9JXT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - Asia Pacific (Tokyo) Amazon S3 accelerated data transfer from US West (Northern California),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,"Accelerated InterRegion Inbound using edge locations within US, Europe or Japan",Asia Pacific (Tokyo),AWS Region,US West (N. California),AWS Region,APN1-USW1-AWS-In-ABytes-T1,,
Z3FQZG73HYSPVABR,JRTCKXETXF,Z3FQZG73HYSPVABR.JRTCKXETXF.6YNURZBX9Y,OnDemand,$0.0300 per GB - first 1 TB / month of storage used,2016-09-01,0,1024,GB-Mo,0.03,USD,Storage,AmazonS3,US West (Oregon),AWS Region,99.99%,General Purpose,Standard,,,,,,,,,,USW2-TimedStorage-ByteHrs,,99.999999999%
Z3FQZG73HYSPVABR,JRTCKXETXF,Z3FQZG73HYSPVABR.JRTCKXETXF.QUZRP4P8Y4,OnDemand,$0.0295 per GB - next 49 TB / month of storage used,2016-09-01,1024,51200,GB-Mo,0.0295,USD,Storage,AmazonS3,US West (Oregon),AWS Region,99.99%,General Purpose,Standard,,,,,,,,,,USW2-TimedStorage-ByteHrs,,99.999999999%
Z3FQZG73HYSPVABR,JRTCKXETXF,Z3FQZG73HYSPVABR.JRTCKXETXF.D42MF2PVJS,OnDemand,$0.0290 per GB - next 450 TB / month of storage used,2016-09-01,51200,512000,GB-Mo,0.029,USD,Storage,AmazonS3,US West (Oregon),AWS Region,99.99%,General Purpose,Standard,,,,,,,,,,USW2-TimedStorage-ByteHrs,,99.999999999%
Z3FQZG73HYSPVABR,JRTCKXETXF,Z3FQZG73HYSPVABR.JRTCKXETXF.YJ98HAVVPP,OnDemand,$0.0285 per GB - next 500 TB / month of storage used,2016-09-01,512000,1024000,GB-Mo,0.0285,USD,Storage,AmazonS3,US West (Oregon),AWS Region,99.99%,General Purpose,Standard,,,,,,,,,,USW2-TimedStorage-ByteHrs,,99.999999999%
Z3FQZG73HYSPVABR,JRTCKXETXF,Z3FQZG73HYSPVABR.JRTCKXETXF.J25EHUHHDK,OnDemand,$0.0280 per GB - next 4000 TB / month of storage used,2016-09-01,1024000,5120000,GB-Mo,0.028,USD,Storage,AmazonS3,US West (Oregon),AWS Region,99.99%,General Purpose,Standard,,,,,,,,,,USW2-TimedStorage-ByteHrs,,99.999999999%
Z3FQZG73HYSPVABR,JRTCKXETXF,Z3FQZG73HYSPVABR.JRTCKXETXF.JR3K5QW8G3,OnDemand,$0.0275 per GB - storage used /  month over 5000 TB,2016-09-01,5120000,Inf,GB-Mo,0.0275,USD,Storage,AmazonS3,US West (Oregon),AWS Region,99.99%,General Purpose,Standard,,,,,,,,,,USW2-TimedStorage-ByteHrs,,99.999999999%
H529XXCCRMNEJ5DU,JRTCKXETXF,H529XXCCRMNEJ5DU.JRTCKXETXF.6YS6EN2CT7,OnDemand,"$0.080 per GB - Amazon S3 accelerated data transfer in (from outside US, Europe or Japan)",2016-09-01,0,Inf,GB,0.08,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,"Accelerated AWS Inbound using edge locations outside US, Europe or Japan",External,Other,Asia Pacific (Sydney),AWS Region,APS2-DataTransfer-In-ABytes-T2,,
J9QS6WKW8YBP3CST,JRTCKXETXF,J9QS6WKW8YBP3CST.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - South America (Sao Paulo) Amazon S3 accelerated data transfer to US West (Northern California),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,Accelerated InterRegion Outbound from close by location,South America (Sao Paulo),AWS Region,US West (N. California),AWS Region,SAE1-USW1-AWS-Out-ABytes,,
NPPG7CTZ5WGPWPZA,JRTCKXETXF,NPPG7CTZ5WGPWPZA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - EU (Germany) Amazon S3 accelerated data transfer from US East (Ohio),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,"Accelerated InterRegion Inbound using edge locations within US, Europe or Japan",EU (Frankfurt),AWS Region,US East (Ohio),AWS Region,EUC1-USE2-AWS-In-ABytes-T1,,
G4ZWEDXHXZBGPHFD,JRTCKXETXF,G4ZWEDXHXZBGPHFD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.02 per GB - EU (Ireland) data transfer to South America (Sao Paulo),2016-09-01,0,Inf,GB,0.02,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,InterRegion Outbound,EU (Ireland),AWS Region,South America (Sao Paulo),AWS Region,EU-SAE1-AWS-Out-Bytes,,
8DC4AKURKNDAADEZ,JRTCKXETXF,8DC4AKURKNDAADEZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - EU (Ireland) Amazon S3 accelerated data transfer to US East (Ohio),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,Accelerated InterRegion Outbound from close by location,EU (Ireland),AWS Region,US East (Ohio),AWS Region,EU-USE2-AWS-Out-ABytes,,
T5V8Y28NR6U6ES7H,JRTCKXETXF,T5V8Y28NR6U6ES7H.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - Asia Pacific (Singapore) Amazon S3 accelerated data transfer from US West (Oregon),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,Accelerated InterRegion Inbound from close by location,Asia Pacific (Singapore),AWS Region,US West (Oregon),AWS Region,APS1-USW2-AWS-In-ABytes,,
GPR2J2T4GVU2YYB5,JRTCKXETXF,GPR2J2T4GVU2YYB5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - Asia Pacific (Mumbai) Amazon S3 accelerated data transfer from EU (Ireland),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,"Accelerated InterRegion Inbound using edge locations within US, Europe or Japan",Asia Pacific (Mumbai),AWS Region,EU (Ireland),AWS Region,APS3-EU-AWS-In-ABytes-T1,,
F2K8DAAADUDG8GUE,JRTCKXETXF,F2K8DAAADUDG8GUE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - Asia Pacific (Singapore) Amazon S3 accelerated data transfer from US East (Northern Virginia),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,Accelerated InterRegion Inbound from close by location,Asia Pacific (Singapore),AWS Region,US East (N. Virginia),AWS Region,APS1-USE1-AWS-In-ABytes,,
YDK4PZM37XA6F7Z7,JRTCKXETXF,YDK4PZM37XA6F7Z7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.16 per GB - South America (Sao Paulo) data transfer to Asia Pacific (Seoul),2016-09-01,0,Inf,GB,0.16,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,InterRegion Outbound,South America (Sao Paulo),AWS Region,Asia Pacific (Seoul),AWS Region,SAE1-APN2-AWS-Out-Bytes,,
ACH2TJGUSREDGA2B,JRTCKXETXF,ACH2TJGUSREDGA2B.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB - Asia Pacific (Seoul) data transfer from US West (Oregon),2016-09-01,0,Inf,GB,0,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,InterRegion Inbound,Asia Pacific (Seoul),AWS Region,US West (Oregon),AWS Region,APN2-USW2-AWS-In-Bytes,,
TZMVACV3C6DM8SCG,JRTCKXETXF,TZMVACV3C6DM8SCG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - US West (Oregon) Amazon S3 accelerated data transfer from South America (Sao Paulo),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,Accelerated InterRegion Inbound from close by location,US West (Oregon),AWS Region,South America (Sao Paulo),AWS Region,USW2-SAE1-AWS-In-ABytes,,
G3WBZ9Z7AYC2WGBT,JRTCKXETXF,G3WBZ9Z7AYC2WGBT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per GB - US West (Northern California) Amazon S3 accelerated data transfer to Asia Pacific (Tokyo),2016-09-01,0,Inf,GB,0.04,USD,Data Transfer,AWSDataTransfer,,,,,,,,,,Accelerated InterRegion Outbound from close by location,US West (N. California),AWS Region,Asia Pacific (Tokyo),AWS Region,USW1-APN1-AWS-Out-ABytes,,
